Country,HDI,Life expectancy,Mean years of schooling,Gross national income (GNI) per capita,Internet users
Nicaragua,0.765,74.4,8.1,9121,43.2
Niger,0.96,69.5,7.9,86093,68.0
Nigeria,0.928,80.0,3.7,76455,66.1
North Korea,0.889,82.2,13.3,8517,53.0
North Macedonia,0.97,73.7,11.4,80007,72.6
Norway,0.769,78.7,5.0,26281,36.9
Oman,0.942,59.2,13.1,59473,78.3
Pakistan,0.815,58.7,10.8,15702,80.1
Palau,0.805,66.4,12.0,48734,11.9
Panama,0.684,64.1,4.6,26487,31.1
Papua New Guinea,0.868,68.5,4.5,55674,80.8
Paraguay,0.931,66.4,9.9,65881,70.1
Peru,0.792,59.3,11.2,56272,19.4
Philippines,0.752,79.2,5.2,26213,25.7
Poland,0.773,55.2,11.5,1998,77.5
Portugal,0.696,69.4,7.2,22797,11.4
Qatar,0.774,65.7,7.5,7683,74.1
Romania,0.885,80.8,8.4,12906,81.9
Russia,0.776,67.0,5.7,29220,60.1
Rwanda,0.97,69.4,9.9,58874,91.5
Saint Kitts and Nevis,0.97,84.6,11.5,71366,30.8
Saint Lucia,0.902,71.3,8.6,84122,32.5
Samoa,0.766,66.5,10.5,36395,16.3
San Marino,0.829,75.4,6.8,16645,73.3
Sao Tome and Principe,0.828,75.5,7.3,60016,21.0
Saudi Arabia,0.888,79.5,12.2,42896,27.8
Senegal,0.781,56.4,12.0,11296,65.0
Serbia,0.927,80.7,13.7,53218,23.3
Seychelles,0.865,69.9,10.2,56572,37.2
Sierra Leone,0.779,74.2,10.2,8662,37.2
Singapore,0.927,71.0,14.0,60558,36.0
Slovakia,0.688,60.4,5.5,6959,57.4
Slovenia,0.914,72.7,4.0,63952,88.2
Solomon Islands,0.939,82.1,3.5,66308,79.5
Somalia,0.899,69.5,10.8,19394,92.6
South Africa,0.939,66.9,9.8,65311,74.3
South Korea,0.96,69.1,14.3,76140,37.3
South Sudan,0.858,64.1,6.4,74633,52.4
Spain,0.864,75.8,14.1,41882,13.2
Sri Lanka,0.79,61.2,9.6,37962,45.0
Sudan,0.939,80.0,12.2,76381,14.9
Suriname,0.97,84.2,9.8,58925,60.2
Sweden,0.946,60.3,8.5,80674,85.0
Switzerland,0.871,83.3,7.6,51678,31.3
Syria,0.766,72.9,6.5,27143,37.9
Taiwan,0.952,82.8,4.4,63113,81.8
Tajikistan,0.785,55.2,10.5,1402,91.1
Tanzania,0.904,62.7,7.3,53832,95.9
Thailand,0.756,59.0,10.0,48459,18.6
Timor-Leste,0.91,74.0,6.7,43857,87.4
Togo,0.904,76.1,7.6,69290,45.1
Tonga,0.906,70.6,14.0,44794,44.0
Trinidad and Tobago,0.833,68.8,5.6,27523,86.5
Tunisia,0.812,59.0,14.3,48148,18.1
Turkey,0.97,71.0,12.3,79666,77.0
Turkmenistan,0.868,59.2,5.7,67240,81.8
Tuvalu,0.902,77.7,4.3,46618,87.7
Uganda,0.97,80.1,14.5,88634,90.0
Ukraine,0.861,76.2,5.4,18697,94.2
United Arab Emirates,0.909,72.4,7.8,47749,79.0
United Kingdom,0.933,69.5,7.2,80013,66.2
United States,0.856,80.9,4.8,8298,96.3
Uruguay,0.9,73.2,10.3,57815,44.8
Uzbekistan,0.867,78.0,4.2,31917,86.7
Vanuatu,0.881,68.2,10.7,33400,71.7
Venezuela,0.771,73.7,8.5,24328,28.2
Vietnam,0.79,69.1,6.0,24025,65.6
Yemen,0.735,58.1,6.1,14480,73.9
Zambia,0.905,82.9,8.8,9078,88.6
Zimbabwe,0.97,81.1,13.1,83701,71.6
